Time,Engine speed,Desired Lambda,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time,Actual Lambda,Actual torque
14:36:35:9392,1600.00,1.00,6.25,1.02,-1.31,1.96,17.00,12.16,9.75,0.00,0.00,0.00,0.00,51.88,151.13,16.39,93.00,14.01,1.79,1.00
14:36:36:5330,1640.00,1.00,0.78,1.31,-1.16,1.96,17.00,14.12,10.50,0.00,0.00,0.00,0.00,54.89,150.38,18.92,93.00,14.01,1.79,1.02
14:36:37:1267,1720.00,1.00,0.39,1.60,-1.02,1.96,16.00,14.51,10.50,0.00,0.00,0.00,0.00,56.39,150.38,19.95,93.00,14.10,2.04,0.96
14:36:37:6425,1760.00,1.00,-0.78,1.74,-1.31,1.96,16.00,13.73,11.25,0.00,0.00,0.00,0.00,54.14,150.38,19.83,94.00,14.10,1.79,1.03
14:36:38:1893,1800.00,1.00,-0.39,1.74,-1.31,1.96,16.00,13.73,12.00,0.00,0.00,0.00,0.00,52.63,151.13,19.75,94.00,14.01,1.79,1.01
14:36:38:7206,1840.00,1.00,4.69,1.74,0.58,1.96,16.00,14.90,11.25,0.00,0.00,0.00,0.00,57.14,152.63,20.67,94.00,14.10,1.79,0.97
14:36:39:2362,1880.00,1.00,-1.56,2.32,3.05,1.96,15.00,20.39,9.75,0.00,0.00,0.00,0.00,75.19,157.14,28.08,94.00,13.91,2.30,0.99
14:36:39:7518,1920.00,1.00,-3.13,3.34,7.54,96.47,15.00,25.49,6.75,0.00,0.00,0.00,0.00,89.47,162.41,35.32,94.00,14.01,2.81,1.02
14:36:40:3301,2040.00,1.00,4.30,7.25,14.36,96.47,15.00,73.33,3.00,0.00,0.00,0.00,0.00,121.05,167.67,55.14,94.00,14.01,4.34,0.98
14:36:40:8613,2200.00,1.00,2.34,11.02,14.50,96.47,15.00,99.61,-0.75,0.00,0.00,0.00,0.00,142.11,172.93,68.74,94.00,14.01,4.85,0.98
14:36:41:3926,2360.00,0.91,-0.39,13.49,14.07,67.06,15.00,100.00,-1.50,0.00,0.00,0.00,0.00,163.16,179.70,83.64,94.00,14.01,5.10,0.92
14:36:41:9863,2560.00,0.91,1.56,13.05,14.36,75.29,15.00,100.00,0.00,0.00,0.00,0.00,0.00,153.38,182.71,82.73,94.00,14.10,5.10,0.90
