Time,Engine speed,Desired Lambda,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time,Actual Lambda,Actual torque
18:04:48:7149,2240.00,1.00,-5.47,0.29,-9.86,1.96,27.00,6.67,14.25,0.00,0.00,0.00,0.00,16.54,172.93,7.79,93.00,13.91,1.02,0.91
18:04:49:2462,2280.00,1.00,-4.69,0.29,-8.70,1.96,27.00,7.84,14.25,0.00,0.00,0.00,0.00,18.80,174.44,9.62,93.00,14.01,1.02,1.03
18:04:49:8087,2320.00,1.00,-0.78,0.29,-9.72,1.96,27.00,7.84,14.25,0.00,0.00,0.00,0.00,20.30,175.94,9.89,93.00,13.91,1.02,1.02
18:04:50:3556,2360.00,1.00,0.78,0.44,-10.44,1.96,28.00,6.67,-6.75,0.00,0.00,0.00,0.00,16.54,170.68,7.63,92.00,13.91,1.02,0.97
18:04:50:8868,2040.00,1.00,-0.78,0.29,-10.59,1.96,28.00,5.88,-6.00,0.00,0.00,0.00,0.00,15.79,162.41,6.76,92.00,13.91,0.77,0.98
18:04:51:4649,1800.00,1.00,-0.39,0.29,-8.56,1.96,28.00,6.27,12.75,0.00,0.00,0.00,0.00,19.55,152.63,5.51,92.00,13.91,0.77,0.99
18:04:52:0274,1840.00,1.00,-3.52,0.58,2.03,1.96,29.00,17.25,9.00,0.00,0.00,0.00,0.00,62.41,155.64,19.64,92.00,13.91,2.04,1.03
18:04:52:5899,1920.00,1.00,1.17,2.32,3.19,1.96,28.00,27.45,7.50,0.00,0.00,0.00,0.00,80.45,160.15,33.30,92.00,13.91,3.06,0.99
18:04:53:1524,2000.00,1.00,-5.08,3.34,4.21,1.96,27.00,29.80,6.00,0.00,0.00,0.00,0.00,90.23,165.41,39.51,92.00,14.01,3.06,0.98
18:04:53:7306,2080.00,1.00,0.00,3.19,4.50,1.96,26.00,30.98,6.00,0.00,0.00,0.00,0.00,87.97,169.17,39.96,92.00,13.91,3.06,0.98
