Time,Engine speed,AFR desired,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time
09:52:43:4976,720,,-2.3,104.5,104.5,2.0,,2.4,-0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:43:5793,720,,-2.3,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:43:6604,720,,-2.3,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:43:7418,720,,-2.3,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:43:8231,720,,-2.3,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:43:9040,720,,-2.3,104.5,104.5,2.0,,2.4,0.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:0260,720,,-2.3,104.5,104.5,2.0,,2.4,0.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:1076,720,,-2.3,104.5,104.5,2.0,,2.4,0.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:1887,720,,-2.3,104.5,104.5,2.0,,2.4,0.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:2699,720,,-2.3,104.5,104.5,2.0,,2.4,6.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:3512,720,,-2.3,104.5,104.5,2.0,,2.4,6.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:4324,720,,-2.3,104.5,104.5,2.0,,2.4,6.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:44:5340,720,,-2.3,104.5,104.5,2.0,,2.4,6.0,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
