Time,Engine speed,Desired Lambda,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time,Actual Lambda,Actual torque
10:52:36:5886,2640.00,1.05,0.00,0.44,-10.44,1.96,39.00,7.45,-5.25,0.00,0.00,0.00,0.00,15.79,185.71,9.12,98.00,13.82,0.00,1.99
10:52:37:1005,2600.00,0.88,0.00,0.00,3.92,1.96,39.00,7.45,-5.25,0.00,0.00,0.00,0.00,16.54,185.71,8.85,98.00,13.82,0.00,1.99
10:52:37:5627,2640.00,0.89,0.00,3.34,14.79,96.47,39.00,100.00,8.25,0.00,0.00,0.00,0.00,88.72,187.22,52.08,98.00,13.82,2.81,0.94
10:52:38:0349,2760.00,0.97,4.69,9.43,15.52,96.47,39.00,100.00,6.00,0.00,0.00,0.00,0.00,124.81,189.47,76.23,98.00,13.72,3.83,0.96
10:52:38:5439,2960.00,0.91,6.25,15.81,16.82,61.57,38.00,100.00,1.50,0.00,0.00,0.00,0.00,158.65,190.23,102.77,97.00,13.72,4.59,0.92
10:52:39:0197,3160.00,0.91,7.03,14.79,17.11,72.55,37.00,100.00,0.00,0.00,0.00,0.00,0.00,169.17,184.96,115.75,97.00,13.72,5.36,0.88
10:52:39:5569,3400.00,0.91,6.25,15.37,17.11,89.80,37.00,100.00,0.00,0.00,0.00,0.00,0.00,169.92,181.20,130.86,97.00,13.72,5.61,0.88
10:52:40:0324,3640.00,0.84,5.08,16.82,16.82,93.73,36.00,100.00,1.50,0.00,0.00,0.00,0.00,173.68,181.20,135.43,97.00,13.72,5.87,0.88
10:52:40:5167,3880.00,0.77,3.13,16.68,16.68,96.47,36.00,100.00,3.00,0.00,0.00,0.00,0.00,175.94,180.45,147.56,97.00,13.72,6.89,0.77
10:52:41:0250,4120.00,0.77,1.56,15.66,16.53,96.47,36.00,100.00,4.50,0.00,0.00,0.00,0.00,171.43,180.45,153.38,97.00,13.63,6.63,0.76
10:52:41:5241,4360.00,0.77,1.17,14.65,16.53,96.47,36.00,100.00,5.25,0.00,0.00,0.00,0.00,166.92,181.20,158.17,97.00,13.63,6.63,0.77
10:52:42:0147,4560.00,0.77,0.78,13.92,16.24,96.47,35.00,100.00,6.75,0.00,0.00,0.00,0.00,163.16,178.95,162.80,97.00,13.63,6.38,0.77
10:52:42:4762,4800.00,0.77,1.17,13.34,15.95,96.47,36.00,100.00,7.50,0.00,0.00,0.00,0.00,158.65,177.44,163.29,96.00,13.72,6.12,0.77
10:52:42:9923,5000.00,0.78,1.95,12.62,15.52,96.47,36.00,100.00,9.75,0.00,0.00,0.00,0.00,153.38,173.68,166.36,96.00,13.72,5.87,0.77
10:52:43:4844,5200.00,0.78,1.56,12.18,14.65,96.47,36.00,100.00,10.50,0.00,0.00,0.00,0.00,150.38,168.42,169.27,96.00,13.63,5.61,0.77
10:52:43:9543,5360.00,0.79,1.95,11.75,13.78,96.47,36.00,100.00,12.00,0.00,0.00,0.00,0.00,146.62,163.16,170.04,96.00,13.72,5.61,0.79
10:52:44:4706,5520.00,0.79,1.56,11.17,12.91,96.47,36.00,100.00,13.50,0.00,0.00,0.00,0.00,142.86,157.14,171.18,96.00,13.63,5.36,0.78
10:52:44:9652,5720.00,0.80,1.56,10.88,11.89,96.47,37.00,100.00,14.25,0.00,0.00,0.00,0.00,139.85,151.88,172.62,96.00,13.63,5.10,0.79
10:52:45:4757,5880.00,0.80,0.78,10.44,11.17,96.47,37.00,100.00,15.00,0.00,0.00,0.00,0.00,137.59,146.62,174.20,96.00,13.63,5.10,0.80
10:52:45:9755,6000.00,0.80,1.17,10.15,11.02,96.47,38.00,100.00,15.00,0.00,0.00,0.00,0.00,134.59,142.86,173.85,96.00,13.72,4.85,0.79
10:52:46:4621,6160.00,0.78,1.56,10.01,10.88,96.47,38.00,100.00,15.75,0.00,0.00,0.00,0.00,133.83,139.85,174.90,96.00,13.63,5.10,0.77
10:52:46:9619,6240.00,0.77,1.17,9.86,10.73,96.47,39.00,100.00,15.75,0.00,0.00,0.00,0.00,130.08,138.35,177.36,96.00,13.63,5.10,0.76
10:52:47:4538,6360.00,0.75,1.17,9.43,10.73,96.47,39.00,100.00,16.50,0.00,0.00,0.00,0.00,128.57,136.09,176.62,96.00,13.63,5.10,0.74
10:52:47:9617,6440.00,1.00,2.34,3.92,-10.15,1.96,39.00,13.73,33.00,0.00,0.00,0.00,0.00,21.05,136.09,23.64,96.00,13.72,1.02,1.02
10:52:48:4655,6320.00,1.05,0.00,1.45,-10.59,1.96,37.00,14.51,19.50,0.00,0.00,0.00,0.00,17.29,138.35,21.73,96.00,13.63,0.77,1.99
10:52:48:9255,6280.00,1.05,0.00,1.31,-10.44,1.96,36.00,14.90,18.75,0.00,0.00,0.00,0.00,17.29,139.10,24.23,96.00,13.82,0.00,1.99
10:52:49:4417,6200.00,1.05,0.00,1.74,-10.44,1.96,36.00,14.90,18.75,0.00,0.00,0.00,0.00,18.05,140.60,24.02,96.00,13.82,0.00,1.99
10:52:49:9618,6120.00,1.05,0.00,1.89,-10.44,1.96,36.00,14.51,18.00,0.00,0.00,0.00,0.00,17.29,142.11,23.77,96.00,13.82,0.00,1.99
