Time,Engine speed,AFR desired,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time

10:26:34:5062,1200,,0.0,,,,,,,,,,,,,,84.0,,
10:26:34:5980,1200,,0.0,,,,,4.3,1.5,,,,,,,4.4,84.0,,
10:26:34:7043,1200,,0.0,,,,,4.3,1.5,0.00,0.00,0.00,0.00,,,4.4,84.0,,
10:26:34:8058,1200,,0.0,117.3,117.3,2.0,,4.3,1.5,0.00,0.00,0.00,0.00,17.3,,4.4,84.0,,
10:26:34:9231,1200,,0.0,117.3,117.3,2.0,,4.3,1.5,0.00,0.00,0.00,0.00,17.3,,4.4,84.0,,
10:26:35:0040,1200,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,17.3,,4.5,84.0,,
10:26:35:0905,1200,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,17.3,,4.5,84.0,,
10:26:35:1705,1200,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.5,84.0,,
10:26:35:2345,1200,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.5,84.0,,
10:26:35:3189,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:35:4209,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:35:5022,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:35:5936,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:35:6748,1160,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:35:7561,1160,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:35:8589,1160,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:35:9488,1160,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:0405,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:1179,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:1979,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:2844,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:3896,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:4874,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:5687,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:6498,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:7313,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:8223,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:36:9346,1200,,0.0,118.0,118.0,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:37:0360,1200,,0.0,118.0,118.0,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:37:1217,1200,,0.0,118.0,118.0,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:37:2017,1200,,0.0,118.0,118.0,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:37:2897,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:37:4121,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:37:5133,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:37:6152,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:37:7164,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,17.3,,4.4,84.0,,
10:26:37:8094,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,17.3,,4.4,84.0,,
10:26:37:9200,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,17.3,,4.4,84.0,,
10:26:38:0011,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,17.3,,4.4,84.0,,
10:26:38:1027,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:1949,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:2588,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:3869,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:4683,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:5599,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:6412,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:7224,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:8139,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:38:9355,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:39:0142,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.5,84.0,,
10:26:39:1080,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.5,84.0,,
10:26:39:2097,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.5,84.0,,
10:26:39:2913,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.5,84.0,,
10:26:39:3931,1200,,0.0,117.3,117.3,2.0,,4.3,5.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:39:4845,1200,,0.0,117.3,117.3,2.0,,4.3,5.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:39:5970,1200,,0.0,117.3,117.3,2.0,,4.3,5.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:39:6976,1200,,0.0,117.3,117.3,2.0,,4.3,5.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:39:7787,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:39:9007,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:39:9925,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:0984,1160,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:1743,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:2768,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:3988,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:4799,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:5711,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:6728,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:7742,1160,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:8963,1200,,0.0,117.3,117.3,2.0,,4.3,2.3,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:40:9774,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:0599,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:1368,1200,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:2145,1160,,0.0,117.3,117.3,2.0,,4.3,3.8,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:3023,1160,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:4044,1160,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:5060,1160,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:6072,1200,,0.0,117.3,117.3,2.0,,4.3,4.5,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:6871,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:7697,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:8514,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:41:9527,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:42:0545,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
10:26:42:1343,1200,,0.0,117.3,117.3,2.0,,4.3,3.0,0.00,0.00,0.00,0.00,16.5,,4.4,84.0,,
