Time,Engine speed,Desired Lambda,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time,Actual Lambda,Actual torque
10:57:53:0785,1800.00,0.88,3.13,0.00,-10.59,1.96,36.00,5.10,-7.50,0.00,0.00,0.00,0.00,15.04,151.13,5.32,94.00,13.91,0.77,0.97
10:57:53:6375,1800.00,0.88,5.86,0.00,-5.37,1.96,37.00,5.10,-6.75,0.00,0.00,0.00,0.00,15.04,153.38,5.54,94.00,13.91,0.77,0.97
10:57:54:2162,1920.00,1.00,8.20,1.16,2.32,1.96,37.00,23.53,-12.00,0.00,0.00,0.00,0.00,72.18,159.40,26.47,94.00,13.91,3.57,0.96
10:57:54:7953,2000.00,1.00,3.52,3.05,2.90,1.96,36.00,27.45,-6.75,0.00,0.00,0.00,0.00,84.96,166.92,38.47,94.00,14.01,3.32,0.99
10:57:55:3544,2160.00,1.00,0.00,2.90,4.35,1.96,34.00,29.02,5.25,0.00,0.00,0.00,0.00,84.96,173.68,39.26,94.00,13.91,2.81,0.97
10:57:55:9661,2360.00,1.00,4.69,4.93,8.27,96.47,33.00,33.33,7.50,0.00,0.00,0.00,0.00,93.23,179.70,46.67,94.00,13.91,2.81,1.02
10:57:56:5123,2560.00,1.00,5.08,10.44,16.39,96.47,33.00,76.08,4.50,0.00,0.00,0.00,0.00,130.83,184.21,74.21,94.00,13.91,3.83,0.98
10:57:57:0611,2800.00,1.00,5.86,13.92,16.39,85.10,33.00,99.22,0.00,0.00,0.00,0.00,0.00,160.90,187.97,101.52,94.00,13.91,4.59,0.97
10:57:57:5836,3040.00,0.85,5.86,15.37,16.82,87.84,33.00,100.00,0.75,0.00,0.00,0.00,0.00,164.66,185.71,105.43,94.00,13.91,5.36,0.84
10:57:58:1282,3320.00,0.81,5.86,16.53,16.68,89.41,33.00,100.00,0.75,0.00,0.00,0.00,0.00,172.18,179.70,121.99,94.00,13.91,6.38,0.79
10:57:58:6558,3600.00,0.80,3.91,16.97,16.53,92.16,32.00,100.00,2.25,0.00,0.00,0.00,0.00,175.94,178.95,135.63,95.00,13.82,6.63,0.79
