Time,Engine speed,AFR desired,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time

18:57:21:3196,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
18:57:21:4133,,,,104.5,104.5,2.0,,,,0.00,0.00,0.00,0.00,20.3,,,,,
18:57:21:5070,800,,1.6,104.5,104.5,2.0,,,,0.00,0.00,0.00,0.00,20.3,,,95.0,,
18:57:21:6008,800,,1.6,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:21:7102,800,,1.6,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:21:7883,800,,1.6,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:21:8664,840,,1.6,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:21:9445,840,,1.6,104.5,104.5,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,20.3,,3.7,95.0,,
18:57:22:0227,840,,1.6,104.5,104.5,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,20.3,,3.7,95.0,,
18:57:22:1008,840,,1.6,104.5,104.5,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,20.3,,3.7,95.0,,
18:57:22:1790,800,,1.6,104.5,104.5,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,20.3,,3.7,95.0,,
18:57:22:2727,800,,1.6,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:22:3664,800,,1.6,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:22:4602,800,,1.6,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:22:5383,800,,1.6,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:22:6165,800,,1.6,104.5,104.5,2.0,,3.5,0.0,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:22:7258,800,,1.6,104.5,104.5,2.0,,3.5,0.0,0.00,0.00,0.00,0.00,20.3,,3.6,95.0,,
18:57:22:8039,800,,1.6,104.5,104.5,2.0,,3.5,0.0,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
18:57:22:8821,800,,1.2,104.5,104.5,2.0,,3.5,0.0,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
18:57:22:9602,800,,1.2,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,21.1,,3.7,95.0,,
18:57:23:0539,800,,1.2,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,21.1,,3.7,95.0,,
18:57:23:1320,800,,1.2,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,21.1,,3.7,95.0,,
18:57:23:2570,840,,1.2,104.5,104.5,2.0,,3.5,0.8,0.00,0.00,0.00,0.00,21.1,,3.7,95.0,,
18:57:23:3508,840,,1.2,104.5,104.5,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
18:57:23:4446,840,,1.2,104.5,104.5,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
18:57:23:5384,840,,1.2,104.5,104.5,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
18:57:23:6164,800,,0.8,104.5,104.5,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
18:57:23:7258,800,,0.8,104.5,104.5,2.0,,3.5,0.0,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
18:57:23:8196,800,,0.8,104.5,104.5,2.0,,3.5,0.0,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
18:57:23:8977,800,,0.8,104.5,104.5,2.0,,3.5,0.0,0.00,0.00,0.00,0.00,21.1,,3.6,95.0,,
